title,genre,releaseDate,budget
Little Singham: Kaal Ka Badla,Children & Family Movies,2020-08-19,903589
Ip Man 4: The Finale,Action & Adventure,2020-07-21,688345
Lee Daniels' The Butler,Dramas,2020-12-16,573361
The Bare-Footed Kid,Action & Adventure,2018-08-16,376027
Jen Kirkman: I'm Gonna Die Alone (And I Feel Fine),Stand-Up Comedy,2015-05-22,547858
Mi Shivajiraje Bhosale Boltoy,Comedies,2018-01-01,875902
Paris Is Burning,Classic Movies,2017-02-01,122139
Get Santa,Children & Family Movies,2014-12-12,720741
Listen,Dramas,2020-10-19,128929
Tik Tok,Dramas,2017-07-01,514219
Ali's Wedding,Comedies,2018-06-08,767883
Haani,Dramas,2018-10-01,631262
Aziz Ansari Live at Madison Square Garden,Stand-Up Comedy,2015-03-06,767252
Ragini MMS,Horror Movies,2021-08-27,598168
Rising Phoenix,Documentaries,2020-08-26,676528
Ranbhool,Horror Movies,2018-03-15,391644
"Monster High: Frights, Camera, Action!",Children & Family Movies,2018-01-01,278948
Either Me Or My Auntie,Comedies,2020-05-19,527753
Black Panther,Action & Adventure,2018-09-04,871107
Jaws,Action & Adventure,2021-09-16,386948
Madam Chief Minister,Dramas,2021-04-01,333164
The Pianist,Dramas,2021-04-01,282621
Monkey Up,Children & Family Movies,2016-03-19,156923
Motu Patlu Dino Invasion,Children & Family Movies,2021-04-20,928682
Bhai: Vyakti Ki Valli - Uttarardh,Dramas,2020-09-10,866194
Tom Papa Live in New York City,Stand-Up Comedy,2018-12-31,165219
Kung Fu Panda: Holiday,Children & Family Movies,2012-12-01,693425
Angry Indian Goddesses,Dramas,2017-03-14,537271
Tanu Weds Manu,Comedies,2020-07-05,533400
Spivak,Comedies,2018-05-12,255220
The Brawler,Dramas,2019-05-18,260988
Losing Sight of Shore,Documentaries,2017-05-01,772711
Madame Claude,Dramas,2021-04-02,623821
How to Get Over a Breakup,Comedies,2018-10-20,130546
The Happytime Murders,Action & Adventure,2020-12-01,226829
The Sleepover,Action & Adventure,2020-08-21,403164
The Conjuring,Horror Movies,2021-02-21,893153
Mugamoodi,Action & Adventure,2018-10-01,478986
In Too Deep,Thrillers,2021-09-01,365521
Secret Superstar,Dramas,2018-03-23,541386
Dil Chahta Hai,Comedies,2019-12-15,717861
The Pixar Story,Documentaries,2018-11-18,646630
American Masters: Inventing David Geffen,Movies,2021-08-04,289334
A Christmas Prince,Children & Family Movies,2017-11-17,397251
An Unremarkable Christmas,Comedies,2020-12-17,373841
Aditi Mittal: Things They Wouldn't Let Me Say,Stand-Up Comedy,2017-07-18,254074
Before the Summer Crowds,Dramas,2020-06-05,955091
The Most Unknown,Documentaries,2021-02-17,686063
The Original Kings of Comedy,Stand-Up Comedy,2021-08-01,886275
Ghost Whispers,Action & Adventure,2019-02-24,939855
The Physician,Action & Adventure,2015-07-15,308111
Killa,Dramas,2017-04-01,192850
Edoardo Ferrario: Temi Caldi,Stand-Up Comedy,2019-03-15,658487
Manorama Six Feet Under,Dramas,2020-09-28,618699
Oloibiri,Dramas,2021-04-21,223502
Bridgerton - The Afterparty,Movies,2021-07-13,751899
The Last Summer,Comedies,2019-05-03,333604
Saavat,Dramas,2019-08-23,211054
Varane Avashyamund,Comedies,2020-04-20,805688
Eeda,Dramas,2018-09-15,744251
My Little Pony Equestria Girls: Friendship Games,Children & Family Movies,2015-12-01,275628
Kyaa Kool Hai Hum,Comedies,2021-08-27,944990
Baggio: The Divine Ponytail,Dramas,2021-05-26,208688
The Rolling Stones: Olé Olé Olé! A Trip Across Latin America,Documentaries,2019-03-22,173134
Bombay,Dramas,2021-08-18,570077
Berserk: The Golden Age Arc I - The Egg of the King,Action & Adventure,2016-10-15,598150
Hamza's Suitcase,Comedies,2019-05-02,969720
To Be a Miss,Documentaries,2017-01-01,198614
Power Rangers: Megaforce: The Robo Knight Before Christmas,Children & Family Movies,2016-01-01,596963
Silent,Children & Family Movies,2019-06-04,192210
Step Sisters,Comedies,2018-01-19,260767
Alejandro Riaño: Especial de stand up,Stand-Up Comedy,2018-01-10,641325
Grand Masti,Comedies,2018-03-01,541283
Dumplin',Comedies,2018-12-07,236064
Rodney Carrington: Here Comes the Truth,Stand-Up Comedy,2017-10-03,439153
Free Willy,Children & Family Movies,2020-01-01,788244
Shuddhi,Dramas,2018-03-01,260834
Dear Dracula,Children & Family Movies,2016-02-18,142494
The Sum of All Fears,Action & Adventure,2021-07-01,862198
AllI Wish,Dramas,2020-03-18,538535
Pizza,Horror Movies,2018-10-01,281582
We Are Legends,Action & Adventure,2019-06-01,618454
Mr. Deeds,Comedies,2020-08-01,647520
Heritages,Documentaries,2020-10-19,778049
We Can Be Heroes,Children & Family Movies,2020-12-25,782777
Halkaa,Comedies,2018-11-15,990552
Rush,Action & Adventure,2021-04-16,287275
The 24 Hour War,Documentaries,2019-11-15,624279
Memory Games,Documentaries,2019-06-19,637544
Honey: Rise Up and Dance,Dramas,2018-04-03,704335
