uID,mTitle,wDate,rating
5309,Before the Flood,2022-01-20,1
5292,The Indian in the Cupboard,2023-04-05,2
9871,Saavat,2022-05-08,3
3211,Chief Daddy,2022-05-01,4
4119,Sigaram Thodu,2023-04-07,1
7034,Poshter Girl,2020-11-20,3
4022,The Meaning of Monty Python,2021-10-07,1
4119,Girl on the Third Floor,2020-12-28,3
7337,No Escape Room,2024-03-15,4
7916,"Good Night, and Good Luck",2023-02-05,4
4815,Bokeh,2024-05-07,1
9784,World's Weirdest Homes,2019-04-02,1
8755,The Great Battle,2023-03-11,2
2473,Gothika,2024-05-15,2
2243,The Devil All The Time,2021-02-10,3
8913,Wildling,2023-03-30,1
9393,Rememory,2020-09-03,3
3211,I'm No Longer Here,2023-02-10,1
4521,Black Island,2024-07-25,5
2783,2012,2024-06-06,4
7775,Silencer,2022-01-03,2
2783,Race to Witch Mountain,2021-09-25,4
7647,2 Alone in Paris,2023-11-17,2
8913,Secrets of Althorp - The Spencers,2021-05-22,4
5118,20 Feet From Stardom,2020-10-27,1
8754,World Trade Center,2021-01-27,2
6829,Bolt,2020-10-14,4
6276,Legal Hash,2023-03-18,5
4189,Nights in Rodanthe,2021-08-25,2
6829,How the Beatles Changed the World,2023-09-03,3
5928,Kocan Kadar Konus,2022-12-17,4
7353,Janaan,2021-02-02,1
7571,Aadu 2,2020-11-19,2
6756,Jo Pil-ho: The Dawning Rage,2020-07-15,5
6615,Lembi 8 Giga,2024-06-01,1
9490,The Outsider,2023-07-18,2
3364,How the Beatles Changed the World,2022-10-05,4
1621,This Is the Life,2022-07-21,5
4260,Fakkah Fuzz: Almost Banned,2019-02-12,4
8667,Ram Teri Ganga Maili,2021-02-02,3
4074,Notes for My Son,2021-10-05,4
5784,One Heart: The A.R. Rahman Concert Film,2021-10-11,4
7643,Sword of Trust,2022-01-27,2
9368,Your Son,2024-07-14,1
1270,Time Trap,2023-10-25,3
6615,Ferry,2023-11-18,1
9344,The Devil All The Time,2022-04-16,2
1621,Alien Warfare,2022-11-19,3
5456,The Next Three Days,2021-12-10,5
5118,Anwar,2024-04-02,1
3364,System Crasher,2021-04-03,4
9393,Jo Pil-ho: The Dawning Rage,2023-01-29,3
4815,Sadie's Last Days on Earth,2019-06-16,5
4390,King of Peking,2020-10-22,3
7775,Chronicle of an Escape,2024-03-03,2
6983,Harishchandrachi Factory,2022-06-15,3
6744,Ije: The Journey,2022-04-06,4
4074,Bethany Hamilton: Unstoppable,2021-10-20,5
2473,The Great Gambler,2023-01-01,3
7916,Pocoyo & Cars,2021-04-24,5
6171,Honey: Rise Up and Dance,2024-03-09,4
7216,Dances with Wolves,2022-01-22,4
4390,How High 2,2022-03-23,3
2733,Spivak,2023-11-20,5
4700,Rudy Habibie,2023-10-04,4
8983,Before the Flood,2020-06-24,3
2473,"Abdullah, The Final Witness",2022-01-12,1
3007,Kyaa Kool Hai Hum,2021-11-13,4
6276,Uma Maheswara Ugra Roopasya,2020-10-26,3
3961,Kay Dyache Bola,2022-10-18,5
7044,Evelyn,2019-11-04,2
3364,2 Alone in Paris,2022-08-03,3
4657,Undercover Brother 2,2022-03-29,4
1270,Aziz Ansari Live at Madison Square Garden,2022-05-23,1
7068,Benji's Very Own Christmas Story,2024-05-10,1
6711,Fary Is the New Black,2019-10-01,1
6171,Chernobyl Diaries,2024-05-12,1
4390,Kevin Hart: What Now?,2017-12-06,1
8589,Magnetic,2023-05-06,5
3252,Untold: Breaking Point,2024-04-21,3
9784,The Sapphires,2021-10-10,2
7224,Monster High: Fright On!,2020-11-29,3
7144,Ho Mann Jahaan,2023-06-14,5
2300,Memory Games,2022-03-03,4
6829,The Happytime Murders,2023-07-05,4
7034,The Royal Bengal Tiger,2021-04-23,3
7104,Mute,2021-01-08,4
6422,Free Willy,2022-01-27,2
9090,Platoon,2024-06-10,3
6756,Virunga: Gorillas in Peril,2020-10-20,2
7044,AllI Wish,2023-04-27,5
4700,Secret Obsession,2023-03-07,4
4119,Backfire,2022-12-23,5
7104,Kiss & Cry,2023-03-29,5
5456,CRD,2024-06-27,5
3007,Chernobyl Diaries,2023-02-25,5
2665,Band of Robbers,2018-06-04,5
1270,Poseidon,2023-09-08,5
5456,Class of '83,2021-02-26,3
3858,One Last Shot,2023-08-23,5
6615,Evelyn,2022-05-17,5
4119,Doom: Annihilation,2024-03-09,3
7211,The Human Factor: The Untold Story of the Bombay Film Orchestras,2023-10-09,3
7916,Anwar,2023-03-30,1
6711,Woodstock,2020-06-14,2
6276,The Pianist,2021-08-23,1
4700,Forbidden Games: The Justin Fashanu Story,2018-08-01,2
7688,Taxi Ballad,2021-10-20,2
4366,Sliver,2024-02-22,1
3252,Before the Summer Crowds,2024-08-11,5
2515,Project Papa,2021-08-04,2
3252,Before the Summer Crowds,2023-11-21,5
4028,Care of Kancharapalem,2023-04-24,3
6422,Ranbhool,2021-06-02,3
3364,This Is the Life,2022-02-17,1
2733,Tramps,2018-05-18,4
5118,The Rolling Stones: Olé Olé Olé! A Trip Across Latin America,2019-08-15,5
2783,2012,2021-05-14,4
4260,Silencer,2022-12-19,1
7211,The Human Factor: The Untold Story of the Bombay Film Orchestras,2022-10-17,4
7775,Poshter Girl,2021-08-05,4
7044,Bolt,2021-06-16,3
9982,A StoryBots Christmas,2023-08-03,1
9784,Rhyme & Reason,2023-12-19,3
4129,Lembi 8 Giga,2023-10-07,5
7760,Love,2022-12-26,4
3252,Daniel Sosa: Maleducado,2019-11-09,1
5994,Alien Warfare,2023-04-07,3
8667,Doom: Annihilation,2023-07-28,2
9344,Nobody Knows I'm Here,2022-05-28,5
8754,Rudy Habibie,2022-09-22,5
6983,Gurgaon,2021-12-28,5
7211,Your Son,2022-11-08,2
3961,Christmas Crossfire,2021-05-22,3
3961,Ram Teri Ganga Maili,2022-07-15,3
2243,Christmas Inheritance,2021-06-12,2
5528,Mi Shivajiraje Bhosale Boltoy,2019-01-20,3
4390,Rhyme & Reason,2024-01-29,5
4916,Deep Blue Sea,2022-09-07,4
8589,Sigaram Thodu,2024-07-12,2
2948,The Vanished,2023-05-01,4
6744,June & Kopi,2023-04-13,2
5928,Super Bheem Bana Vajraveer,2021-09-12,2
6615,Khido Khundi,2021-08-29,5
5292,Get Santa,2018-04-23,1
4260,Fifty,2018-06-19,5
4815,ReMastered: Tricky Dick & The Man in Black,2019-11-29,2
2665,All of You,2024-06-09,1
7068,Dil Hai Tumhaara,2020-11-21,2
6756,Danny Says,2020-03-26,1
6062,Mantostaan,2018-01-12,1
3007,Black Panther,2022-02-18,4
9490,Kiss & Cry,2018-07-29,1
2783,In the Shadow of Iris,2018-07-03,4
6062,RebellComedy: Straight Outta the Zoo,2021-04-10,2
4366,Benji's Very Own Christmas Story,2021-06-09,3
9344,Grand-Daddy Day Care,2022-02-14,2
4260,Anwar,2021-03-03,2
8983,Silent,2019-10-02,1
2030,The Royal Bengal Tiger,2023-10-26,3
6615,Catch.er,2021-12-10,3
6062,A Thin Line Between Love & Hate,2022-11-04,2
4387,Girl on the Third Floor,2023-03-27,4
5118,Race to Witch Mountain,2021-11-30,2
2300,Boomika (Telugu),2022-03-24,1
9393,Athlete A,2022-05-20,2
2030,Christmas Inheritance,2020-05-02,5
1621,Pihu,2020-02-22,4
2515,Ram Teri Ganga Maili,2023-11-10,5
3211,Philomena,2023-03-27,2
7353,Hamburger Hill,2020-05-25,5
5118,System Crasher,2024-05-05,5
3824,"Martin Matte: La vie, la mort...eh la la..!",2022-01-05,2
9090,Gatao 2: Rise of the King,2021-01-10,2
6171,White Island,2019-03-27,1
7353,Aarakshan,2023-04-30,5
5528,Little Big Women,2023-07-18,1
7068,Madam Chief Minister,2022-06-15,5
4022,"Power Rangers Samurai: Christmas Together, Friends Forever (Christmas Special)",2024-04-04,1
